title,link,description,postdate
남북 충돌 불사하는 듯한 윤 정부... 위험 신호 3가지,http://blog.jinbo.net/pulip41/20354,"전국 1032명, 응답률 2.6%, 오차범위 ±3.0%P 덧붙이는 글 | 글쓴이 정일영씨는 서강<b>대학교</b>... 이필립 <b>공지사항</b> 태그 구름 달력 « 2023/10 » 일 월 화 수 목 금 토 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21... ",20231003
남북 충돌 불사하는 듯한 윤 정부... 위험 신호 3가지,https://blog.jinbo.net/pulip41/20354,"전국 1032명, 응답률 2.6%, 오차범위 ±3.0%P 덧붙이는 글 | 글쓴이 정일영씨는 서강<b>대학교</b>... 이필립 <b>공지사항</b> 태그 구름 달력 « 2023/10 » 일 월 화 수 목 금 토 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21... ",20231003
유튜브의 대혁명! 영상편집 어플 유튜브 크리에이트... ,https://blog.naver.com/sejongcy/223225583695,커뮤니티 <b>공지사항</b>에서 확인하실 수 있습니다. 유튜브 앱 유튜브의 새로운 신기능! 유튜브 크리에이트 YouTube Create! 과연 캡컷의 대항마가 될수 있을지! 앞으로 더욱 기대가 됩니다! #세종<b>사이버대학교</b>... ,20231001
"남자들이 '원숭이' 보듯 쳐다봤지만, 보란듯이 합판을 들어 올렸다",https://blog.jinbo.net/pulip41/20348,"좋은책 나눔 2023/10/01 08:48 이필립 응답 RSS [나, 블루칼라 여자] ④ 형틀목수 기능공 신연옥 씨 박정연 기자 | 기사입력 2023.10.01. 05:07:11 '힘' 좀 써야 한다는 노동 현장, 그곳에도 여자가 있습니다. 웬만한... ",20231001
1년 365일 매일 새벽기도회,https://blog.naver.com/jwyang38/223225413026,"자세한 광고 내용은 전날 장문의 세부 <b>공지사항</b>으로 미리 전달합니다. 이를 완전 숙지하시고, 주일에 신앙 외 기타 논의 사절합니다. 주일에 새생명 및 여린 믿음들 목양에 집중합시다. 이에... ",20231001
[대구]대구<b>사이버대학교</b> 강사 및 겸임교원등 초빙 공고(~10/5),https://blog.naver.com/yomyom28/223224875412,처우 : 대구<b>사이버대학교</b> 강사료 및 제수당 지급 규정에 따름 라. 기타 : 강의를 위한 콘텐츠 제작은 별도 계약에 따르며 기 개발된 콘텐츠가 있는 경우는 강의 운영만 담당할 수 있음 7. 지원자 유의<b>사항</b>... ,20230930
글로벌<b>사이버대학교</b> 지구시민 챌린지 및 K문화 힐링 페스티벌... ,https://blog.naver.com/gcu2010/223223319075,"안녕하세요 글로벌<b>사이버대학교</b>입니다~! 글로벌<b>사이버대학교</b>에서 진행하는 지구시민 챌린지와 함께... 홈페이지 <b>공지사항</b>에 탑재 예정 이벤트 경품 : 치킨, 피자 쿠폰 (10명) 스타벅스 커피 (참여자 전원)... ",20230927
총 상금 100만원에 도전하라! 제5회 나만의 학습법 공모전,https://blog.naver.com/konyangcu/223223059459,"(토) 10:30 ※ 건양<b>사이버대학교</b> 다경제(多慶際) 연계 진행 ▶ 시상내역 ◀ 총 상금 100만원(최우수상 1명, 우수상 2명, 장려상 3명) ▶ 응모방법 ◀ 1) 학교 홈페이지 <b>공지사항</b> 공모전 안내<b>사항</b> 확인 2)... ",20230927
"학은제 , 체육학 멘토 !!!",https://blog.naver.com/ibqp4095/223222948345,"본격적인 공부스케줄을 짜기 전에 이전 <b>대학교</b>에서 취득한 학점을 근거로 학점은행제도를 어떻게 이용하여, 학점을 어떻게 취득할지에 대해 말씀해주셨고, 잊지 않아야하는 주의<b>사항</b>들도 알려주셨어요. 학습... ",20230927
"중소·중견기업 재직자, 창업자라면 등록금 전액 지원!... ",https://blog.naver.com/ocublog/223222309708,"한국열린<b>사이버대학교</b> 입니다. 중소·중견기업 재직자, 창업자라면 등록금 전액 지원을 지원하는!... 관련 <b>공지사항</b> 통해 반드시 확인 ㅁ 문의처 : 희망사다리 상담센터 1800-0499 ▼ 신청 매뉴얼 ▼ 첨부파일... ",20230926
더욱 손쉽게 유튜브 동영상을 만들 수 있도록 제공되는 새로운... ,https://blog.naver.com/sejongcy/223222291745,<b>사이버대학교</b> 유튜버학과입니다. 최근 유튜브에서 진행된 Made on YouTube 행사를 통해 내년에 YouTube에 적용될 반가운 변화들을 몇가지 소개해 드렸는데요. 새 기능들의 출시 소식에 더해 본 <b>공지사항</b>을... ,20230926
[경희<b>사이버대학교</b>] 경사대의 글로벌 프로그램 알아보기!,https://blog.naver.com/khcuniv/223221044073,"안녕하세요 경희<b>사이버대학교</b>입니다! 가을 정취가 물씬 풍기는 10월이 코앞으로 다가왔습니다.... 국내 정규 응시료 기준으로 일정금액 지원하며, 결제금액이 기준과 다를 경우, 홈페이지 <b>공지사항</b>의 기준에... ",20230925
2023학년도 2학기 중간고사 일정 확인 방법 안내,https://blog.naver.com/3793737_/223220871995,내 <b>공지사항</b>을 확인하시어 시험유형을 확인하시길 바랍니다~!! &lt; 새내기 온라인 모의시험 안내 &gt; ※ 시험일시 : 10/5일 (목) 20:00 ~ 20:40 ※ 한양<b>사이버대학교</b> &gt; 대학알림 &gt; 대학소식 &gt; 학사<b>공지</b> (hycu.ac.kr) 저희... ,20230925
[9월 3주차] 서귀포시 금주의 모집 안내,https://blog.naver.com/seogwipo-si/223218881753,"단, <b>대학교</b> 4학기(2년제 대학은 1학기) 과정 이상 수료자(재학·휴학생 포함) 및 특성화고 3학년 재학생(해당 고등학교장 추천을 받은 자), 방송통신대학·<b>사이버</b>대학·야간대학, 폴리텍 대학 재학생... ",20230922
[예비 백석인/백석인들을 위한 TIP] 백석<b>대학교</b> 교내활동... ,https://blog.naver.com/buipsi0800/223218008714,"있으니 [<b>사이버</b>캠퍼스 로그인 &gt; 학습지원 &gt; <b>공지사항</b>]을 클릭하여 살펴보시면 좋겠습니다. 두 번째, 교양대학입니다. 백석<b>대학교</b>의 교양교육 발전을 위해 힘쓰고 있는 교내 부속기관인데요.... ",20230921
