period,한양사이버대,고려사이버대,경희사이버대,세종사이버대
2023-03-01,53.41047,38.61144,65.10353,16.2911
2023-03-02,64.0682,53.38002,81.05968,24.36053
2023-03-03,58.16077,39.89037,62.48477,19.12302
2023-03-04,38.85505,28.62362,43.514,14.0682
2023-03-05,42.02192,33.25213,49.39098,14.79902
2023-03-06,71.37637,62.30207,94.97563,27.10109
2023-03-07,60.07917,45.21924,72.41169,21.74177
2023-03-08,55.02436,46.95493,65.22533,21.13276
2023-03-09,47.59439,42.81364,59.98781,18.42265
2023-03-10,46.01096,39.31181,51.64433,15.40803
2023-03-11,31.69914,25.39585,31.69914,10.53593
2023-03-12,33.64799,31.30328,42.29598,13.48964
2023-03-13,49.26918,45.7978,80.84652,21.40682
2023-03-14,52.74056,48.96467,57.88672,20.46285
2023-03-15,47.32034,46.83313,60.84043,18.3922
2023-03-16,59.71376,42.63093,58.64799,17.69183
2023-03-17,56.9123,36.69305,54.65895,14.92082
2023-03-18,40.40803,26.43118,39.61632,15.16443
2023-03-19,47.19853,37.05846,44.45797,13.06333
2023-03-20,45.7978,52.25334,79.04993,20.6151
2023-03-21,42.87454,45.40194,61.63215,18.54445
2023-03-22,39.58587,39.34226,56.12058,17.60048
2023-03-23,37.75883,38.27649,45.52375,16.1084
2023-03-24,38.52009,30.78562,49.20828,13.48964
2023-03-25,29.08038,27.5883,36.17539,7.61266
2023-03-26,37.45432,36.51035,41.77831,11.44945
2023-03-27,39.95127,54.14129,74.63459,19.18392
2023-03-28,43.90986,39.34226,53.25822,17.23507
2023-03-29,41.80876,39.31181,53.41047,17.32643
2023-03-30,35.50548,37.85018,50.0,16.90012
2023-03-31,35.07917,34.47015,53.98903,14.73812
2023-04-01,25.1218,23.99512,34.65286,8.46528
2023-04-02,33.28258,32.30816,38.61144,12.66747
2023-04-03,41.41291,52.83191,83.03897,20.4933
2023-04-04,42.60048,42.38733,56.82095,19.09257
2023-04-05,35.71863,36.11449,54.59805,16.62606
2023-04-06,34.71376,34.16565,55.48112,16.38246
2023-04-07,40.86479,31.9123,46.04141,15.04263
2023-04-08,29.32399,31.15103,38.48964,10.77953
2023-04-09,36.26674,38.33739,43.90986,16.01705
2023-04-10,50.45676,59.34835,86.419,26.91839
2023-04-11,43.84896,41.352,58.76979,26.43118
2023-04-12,43.54445,38.6419,53.65408,30.11571
2023-04-13,44.94518,39.85992,59.98781,28.62362
2023-04-14,46.61997,42.38733,59.89646,24.66504
2023-04-15,48.17295,55.69427,45.95006,17.57003
2023-04-16,48.11205,44.57978,68.84896,18.11814
2023-04-17,59.3788,58.92204,100.0,23.17295
2023-04-18,54.29354,35.68818,69.12302,15.9257
2023-04-19,59.83556,36.419,75.03045,15.52984
2023-04-20,43.75761,37.14981,63.97685,15.62119
2023-04-21,46.07186,38.42874,61.63215,13.27649
2023-04-22,49.87819,39.95127,45.28014,8.28258
2023-04-23,47.71619,48.44701,49.54323,10.26187
2023-04-24,64.37271,47.62484,64.55542,17.60048
2023-04-25,48.47746,38.00243,52.22289,17.05237
2023-04-26,48.87332,39.43361,46.65042,15.62119
2023-04-27,38.21559,37.30207,46.65042,14.61632
2023-04-28,34.3179,32.2168,40.65164,11.75395
2023-04-29,21.25456,31.60779,31.30328,8.16077
2023-04-30,25.2436,25.94397,35.44457,10.50548
2023-05-01,25.54811,32.2168,50.91352,12.02801
2023-05-02,37.94153,39.25091,50.82216,14.55542
2023-05-03,33.31303,31.72959,51.88794,13.9464
2023-05-04,30.57247,32.27771,72.13763,11.4799
2023-05-05,22.50304,20.95006,35.62728,8.58708
2023-05-06,23.99512,22.28989,35.44457,8.43483
2023-05-07,30.90742,27.7101,42.57003,10.80998
2023-05-08,38.6419,43.6358,94.39707,15.59074
2023-05-09,34.28745,39.58587,57.06455,16.53471
2023-05-10,33.09987,35.41412,46.95493,12.72838
2023-05-11,33.40438,32.79537,46.16321,14.15956
2023-05-12,36.11449,29.08038,42.44823,11.87576
2023-05-13,21.80267,22.80755,37.57612,8.52618
2023-05-14,30.08526,31.60779,37.42387,9.86601
2023-05-15,38.73325,48.59926,75.54811,16.2302
2023-05-16,37.69792,37.24116,51.15712,14.52496
2023-05-17,34.65286,32.70401,53.25822,15.71254
2023-05-18,35.87088,31.94275,44.82338,14.31181
2023-05-19,42.05237,27.98416,45.03654,12.69792
2023-05-20,21.19366,20.88915,30.72472,7.97807
2023-05-21,33.19123,40.68209,36.51035,11.5408
2023-05-22,44.67113,59.74421,75.15225,17.87454
2023-05-23,40.71254,36.84531,55.99878,16.2911
2023-05-24,37.66747,37.27161,49.72594,15.34713
2023-05-25,39.43361,34.53105,51.82704,14.43361
2023-05-26,41.96102,34.83556,55.69427,14.46406
2023-05-27,28.10596,25.57856,30.14616,8.55663
2023-05-28,37.02801,32.52131,43.5749,10.47503
2023-05-29,32.30816,37.78928,63.58099,11.23629
2023-05-30,53.25822,47.28989,67.17417,19.91473
2023-05-31,52.04019,44.36662,67.90499,19.03166
2023-06-01,70.43239,62.05846,77.67965,21.52862
2023-06-02,65.25578,56.15103,75.76126,19.76248
2023-06-03,50.4263,55.90742,60.84043,11.69305
2023-06-04,55.42021,52.92326,71.25456,15.28623
2023-06-05,63.09378,62.24116,90.04263,27.92326
2023-06-06,51.73568,48.41656,65.62119,15.07308
2023-06-07,70.4933,49.17783,90.71254,26.58343
2023-06-08,66.26065,48.81242,75.45676,27.37515
2023-06-09,61.02314,47.25943,75.54811,25.51766
2023-06-10,56.18148,48.53836,46.04141,18.97076
2023-06-11,65.65164,55.81607,43.2704,20.95006
